"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies customer search by Role.","1611","test_search_by_role[firefox-case2]","tests","Fri Oct 17 23:46:36 IST 2025","passed","Fri Oct 17 23:46:37 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by First Name.","0","test_search_by_first_name[edge-case1]","","Fri Oct 17 23:32:33 IST 2025","skipped","Fri Oct 17 23:32:33 IST 2025","","","",""
"Verifies customer search by Role.","1019","test_search_by_role[chrome-case4]","tests","Fri Oct 17 23:44:54 IST 2025","passed","Fri Oct 17 23:44:55 IST 2025","TestSearchCustomer","test_custsearch","",""
"
Verifies that a customer can be found by registered email.
","1108","test_search_by_email[chrome-admin@yourstore.com]","tests","Fri Oct 17 23:34:22 IST 2025","passed","Fri Oct 17 23:34:24 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by First Name.","1595","test_search_by_first_name[edge-case1]","tests","Fri Oct 17 23:39:36 IST 2025","passed","Fri Oct 17 23:39:38 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by Role.","2079","test_search_by_role[firefox-case3]","tests","Fri Oct 17 23:47:04 IST 2025","passed","Fri Oct 17 23:47:07 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by First Name.","991","test_search_by_first_name[firefox-case0]","tests","Fri Oct 17 23:36:50 IST 2025","passed","Fri Oct 17 23:36:51 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by Last Name.","897","test_search_by_last_name[firefox-case1]","tests","Fri Oct 17 23:41:41 IST 2025","passed","Fri Oct 17 23:41:42 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by Last Name.","886","test_search_by_last_name[chrome-case1]","tests","Fri Oct 17 23:40:38 IST 2025","passed","Fri Oct 17 23:40:39 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by Role.","1189","test_search_by_role[edge-case1]","tests","Fri Oct 17 23:48:37 IST 2025","passed","Fri Oct 17 23:48:38 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by Last Name.","736","test_search_by_last_name[firefox-case0]","tests","Fri Oct 17 23:41:08 IST 2025","passed","Fri Oct 17 23:41:09 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by Role.","2113","test_search_by_role[firefox-case1]","tests","Fri Oct 17 23:46:08 IST 2025","passed","Fri Oct 17 23:46:10 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by Role.","941","test_search_by_role[chrome-case3]","tests","Fri Oct 17 23:44:27 IST 2025","passed","Fri Oct 17 23:44:28 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by Role.","2122","test_search_by_role[edge-case4]","tests","Fri Oct 17 23:49:42 IST 2025","passed","Fri Oct 17 23:49:44 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by Last Name.","794","test_search_by_last_name[chrome-case0]","tests","Fri Oct 17 23:40:11 IST 2025","passed","Fri Oct 17 23:40:12 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by First Name.","1187","test_search_by_first_name[edge-case0]","tests","Fri Oct 17 23:39:10 IST 2025","passed","Fri Oct 17 23:39:12 IST 2025","TestSearchCustomer","test_custsearch","",""
"
Verifies that a customer can be found by registered email.
","1354","test_search_by_email[firefox-admin@yourstore.com]","tests","Fri Oct 17 23:35:00 IST 2025","passed","Fri Oct 17 23:35:01 IST 2025","TestSearchCustomer","test_custsearch","",""
"Verifies customer search by Role.","3268","test_search_by_role[firefox-case4]","tests","Fri Oct 17 23:47:47 IST 2025","passed","Fri Oct 17 23:47:50 IST 2025","TestSearchCustomer","test_custsearch","",""
